District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
West Kameng,17889,1395.342,11073.291,4025.025,172779.8242,10539.56928,89327.16911,67384.13144
East Kameng,14503,536.611,6569.859,10877.25,5215,93.87,1058.645,5074.195
Papum Pare,20308,1604.332,10478.928,17079.028,30180,1991.88,4647.72,26950.74
Upper Subansiri,14542,857.978,6587.526,12346.158,4672,42.048,714.816,4573.888
West Siang,22272,1670.4,9265.152,19109.376,8503,144.551,1564.552,8069.347
East Siang,19497,799.377,9144.093,13530.918,9524,57.144,2381,9285.9
Upper Siang,8569,214.225,4138.827,3333.341,2182,65.46,909.894,1907.068
Changlang,33422,868.972,19451.604,7352.84,6498,162.45,3073.554,4158.72
Tirap,18420,736.8,8160.06,10094.16,6500,227.5,2041,5960.5
Lower Subansiri,18112,452.8,11392.448,6230.528,5365,64.38,2065.525,4565.615
Kurung Kumey,18603,148.824,7664.436,13226.733,1092,22.932,327.6,1043.952
Dibang Valley,2055,30.825,575.4,974.07,1175,50.525,662.7,1065.725
Lower Dibang Valley,12000,48,3504,6756,3950,43.45,1876.25,3167.9
Lohit,33599,571.183,16732.302,21940.147,11372,90.976,4355.476,10382.636
Anjaw,6025,60.25,2608.825,5157.4,428,6.42,202.016,393.332
Mon,43607,654.105,17530.014,29696.367,7415,51.905,1816.675,7303.775
Mokokchung,37536,4692,16778.592,8820.96,17742,904.842,8817.774,14300.052
Zunheboto,31267,2251.224,15539.699,20229.749,6044,338.464,2949.472,4968.168
Wokha,38499,1231.968,20288.973,18479.52,8170,302.29,2638.91,7238.62
Dimapur,49116,2946.96,26571.756,24312.42,62853,2262.708,29352.351,56064.876
Phek,38903,2334.18,20540.784,10776.131,7295,0,4982.485,4683.39
Tuensang,40690,569.66,26041.6,25512.63,9451,529.256,4602.637,8902.842
Longleng,12686,63.43,4325.926,12216.618,2451,17.157,808.83,2414.235
Kiphire,16032,272.544,7086.144,11494.944,4290,8.58,1548.69,4049.76
Kohima,31845,318.45,16432.02,18947.775,44255,88.51,9603.335,42794.585
Peren,20204,646.528,9031.188,18506.864,4073,85.533,1409.258,3942.664
Senapati,38008,912.192,20676.352,28658.032,1826,7.304,710.314,1709.136
Tamenglong,23982,815.388,13190.1,11943.036,4119,127.689,2220.141,3657.672
Churachandpur,52972,1165.384,35014.492,36550.68,4853,271.768,3091.361,3673.721
Bishnupur,34977,349.77,20006.844,12801.582,21172,84.688,5885.816,20176.916
Thoubal,65961,395.766,22162.896,34431.642,38302,727.738,12218.338,35237.84
Imphal West,51055,459.495,27059.15,39363.405,85746,1800.666,52390.806,79658.034
Imphal East,64421,1417.262,38459.337,46705.225,46520,837.36,29493.68,45403.52
Ukhrul,36084,3031.056,20423.544,23959.776,5806,603.824,3175.882,5614.402
Chandel,30377,698.671,16282.072,25000.271,3783,87.009,1986.075,3737.604
Mamit,16726,986.834,5803.922,15237.386,4129,169.289,1242.829,3897.776
Kolasib,9669,531.795,3239.115,8866.473,12507,650.364,3351.876,11769.087
Aizawl,20570,1090.21,6808.67,18924.4,80341,3535.004,24504.005,77689.747
Champhai,18395,846.17,6695.78,16721.055,12717,406.944,4005.855,12144.735
Serchhip,7472,388.544,5260.288,6007.488,8018,336.756,4522.152,7705.298
Lunglei,21479,880.639,12543.736,16560.309,17315,2701.14,7047.205,16778.235
Lawngtlai,21993,1297.587,10930.521,18276.183,5273,52.73,1128.422,5204.451
