,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
209,Bihar,Kishanganj,1690400,866970,823430,745056,439921,305135,401793,43357,445150,1139615,361114,188447,1224
210,Bihar,Purnia,3264619,1699370,1565249,1332326,805261,527065,712847,85749,798596,2155512,696556,372692,39859
211,Bihar,Katihar,3071029,1600430,1470599,1280190,762256,517934,668232,69838,738070,2054202,660403,353483,2941
212,Bihar,Madhepura,2001762,1047559,954203,834577,517666,316911,486278,24000,510278,1311771,444235,242382,3374
213,Bihar,Saharsa,1900661,997174,903487,804996,506374,298622,432651,38046,470697,1249692,415863,233870,1236
214,Bihar,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,907174,95539,1002713,2535344,865971,529314,6756
215,Bihar,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,998694,120700,1119394,3016735,1079189,697108,8030
216,Bihar,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,515925,38133,554058,1642807,546202,370662,2341
217,Bihar,Siwan,3330464,1675090,1655374,1930175,1115906,814269,632514,41858,674372,2115448,713597,498299,3120
218,Bihar,Saran,3951862,2022821,1929041,2157454,1285767,871687,701323,76299,777622,2516115,847031,585386,3330
219,Bihar,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,699317,51494,750811,2176701,759132,486032,73156
220,Bihar,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1012979,43486,1056465,2766930,913339,568812,12485
221,Bihar,Begusarai,2970541,1567660,1402881,1548673,918507,630166,594377,139248,733625,1951688,644874,369996,3983
222,Bihar,Khagaria,1666886,883786,783100,768028,461153,306875,373696,21007,394703,1114645,355531,195796,914
223,Bihar,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,522527,130634,653161,1952879,674660,397654,12573
224,Bihar,Banka,2034763,1067140,967623,965321,590961,374360,425604,18492,444096,1291235,462080,278863,2585
225,Bihar,Munger,1367765,729041,638724,801817,473741,328076,222281,85782,308063,860147,316713,188319,2586
226,Bihar,Lakhisarai,1000912,526345,474567,507270,305182,202088,175882,31763,207645,650642,218840,130655,775
227,Bihar,Sheikhpura,636342,329743,306599,328676,196431,132245,108293,24345,132638,413475,136898,85045,924
228,Bihar,Nalanda,2877653,1497060,1380593,1519933,919558,600375,514141,102522,616663,1829128,642197,403129,3199
229,Bihar,Patna,5838465,3078512,2759953,3459679,2028047,1431632,657991,552103,1210094,3626564,1382654,815638,13609
230,Bihar,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,434559,77368,511927,1722387,613072,387389,5559
231,Bihar,Buxar,1706352,887977,818375,989807,593544,396263,299252,35405,334657,1074754,375372,253998,2228
